POGLAVJE,KATEGORIJA,PODKATEGORIJA_4,PODKATEGORIJA_5,SKLOP / 1. NIVO,SKLOP / 2. NIVO,SKLOP / 3. NIVO,RAVEN,KODA,SLOVENSKI NAZIV,KRIŽEC / ETIOLOGIJA,ZVEZDICA / MANIFESTACIJA,VELJAVNOST,KODA DEJAVNA OD,KODA DEJAVNA DO,SPOL,SPOL TIP,STAROST MIN.,STAROST MAX.,STAROST TIP,REDKA DIAGNOZA,MORFOLOGIJA,NESPREJEMLJIVA GLAVNA DIAGNOZA,PRIJAVA NALEZLJIVE BOLEZNI,"PRIJAVA SPO, HIV, HEP B,C","BOLEZNI, KI JIH PREPREČUJEMO S CEPLJENJEM",ENGLISH DESCRIPTION POSTPROCESED
1,A02,,,A00A09,,,3,A02,Druge okužbe zaradi salmonel,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Salmonella enteritis
1,A02,0,,A00A09,,,4,A02.0,Salmonelni enteritis,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Salmonella enteritis
1,A02,1,,A00A09,,,4,A02.1,Salmonelna sepsa,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Salmonella sepsis
1,A02,2,,A00A09,,,4,A02.2,Lokalizirane salmonelne okužbe,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Localised salmonella infections
1,A02,8,,A00A09,,,4,A02.8,Druge opredeljene salmonelne okužbe,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Other specified salmonella infections
1,A02,9,,A00A09,,,4,A02.9,"Salmonelna okužba, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,"Salmonella infection, unspecified"
1,A03,,,A00A09,,,3,A03,Šigeloza (griža),0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Shigellosis due to Shigella dysenteriae
1,A03,0,,A00A09,,,4,A03.0,"Griža, ki jo povzroča Shigella dysenteriae",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Shigellosis due to Shigella dysenteriae
1,A03,1,,A00A09,,,4,A03.1,"Griža, ki jo povzroča Shigella flexneri",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Shigellosis due to Shigella flexneri
1,A03,2,,A00A09,,,4,A03.2,"Griža, ki jo povzroča Shigella boydii",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Shigellosis due to Shigella boydii
1,A03,3,,A00A09,,,4,A03.3,"Griža, ki jo povzroča Shigella sonnei",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Shigellosis due to Shigella sonnei
1,A03,8,,A00A09,,,4,A03.8,Druge griže,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Other shigellosis
1,A03,9,,A00A09,,,4,A03.9,"Griža, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,"Shigellosis, unspecified"
1,A04,,,A00A09,,,3,A04,Druga bakterijska črevesna okužba,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Enteropathogenic Escherichia coli infection
1,A04,0,,A00A09,,,4,A04.0,"Okužba, ki jo povzroča enteropatogena Escherichia coli",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Enteropathogenic Escherichia coli infection
1,A04,1,,A00A09,,,4,A04.1,"Okužba, ki jo povzroča enterotoksigena Escherichia coli",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Enterotoxigenic Escherichia coli infection
1,A04,2,,A00A09,,,4,A04.2,"Okužba, ki jo povzroča enteroinvazivna Escherichia coli",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Enteroinvasive Escherichia coli infection
1,A04,3,,A00A09,,,4,A04.3,"Okužba, ki jo povzroča enterohemoragična Escherichia coli",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Enterohaemorrhagic Escherichia coli infection
1,A04,4,,A00A09,,,4,A04.4,"Druga črevesna okužba, ki jo povzroča Escherichia coli",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Other intestinal Escherichia coli infection
1,A04,5,,A00A09,,,4,A04.5,"Enteritis, ki ga povzroča kampilobakter",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Campylobacter enteritis
1,A04,6,,A00A09,,,4,A04.6,"Enteritis, ki ga povzroča Yersinia enterocolitica",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Enteritis due to Yersinia enterocolitica
1,A04,7,,A00A09,,,4,A04.7,"Enterokolitis, ki ga povzroča Clostridium difficile",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Enterocolitis due to Clostridium difficile
1,A04,8,,A00A09,,,4,A04.8,"Druga opredeljena črevesna okužba, ki jo povzročajo bakterije",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Other specified bacterial intestinal infection
1,A04,9,,A00A09,,,4,A04.9,"Črevesna bakterijska okužba, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,"Bacterial intestinal infection, unspecified"
1,A05,,,A00A09,,,3,A05,"Druge zastrupitve z bakterijami, ki se prenašajo s hrano, ki niso uvrščene drugje",0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Food-borne staphylococcal intoxication
1,A05,0,,A00A09,,,4,A05.0,Stafilokokna zastrupitev s hrano,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Food-borne staphylococcal intoxication
1,A05,1,,A00A09,,,4,A05.1,Botulizem,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Botulism
1,A05,2,,A00A09,,,4,A05.2,"Zastrupitev s hrano, ki jo povzroča Clostridium perfringens [Clostridium welchii]",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Food-borne Clostridium perfringens [Clostridium welchii] intoxication
1,A05,3,,A00A09,,,4,A05.3,"Zastrupitev s hrano, ki jo povzroča Vibrio parahaemolyticus",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Food-borne Vibrio parahaemolyticus intoxication
1,A05,4,,A00A09,,,4,A05.4,"Zastrupitev s hrano, ki jo povzroča Bacillus cereus",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Food-borne Bacillus cereus intoxication
1,A05,8,,A00A09,,,4,A05.8,Druge opredeljene bakterijske zastrupitve s hrano,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Other specified bacterial food-borne intoxications
1,A05,9,,A00A09,,,4,A05.9,"Bakterijska zastrupitev s hrano, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,"Bacterial food-borne intoxication, unspecified"
1,A06,,,A00A09,,,3,A06,Ameboza,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Acute amoebic dysentery
1,A06,0,,A00A09,,,4,A06.0,Akutna amebna dizenterija,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Acute amoebic dysentery
1,A06,1,,A00A09,,,4,A06.1,Kronična črevesna ameboza,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Chronic intestinal amoebiasis
1,A06,2,,A00A09,,,4,A06.2,Amebni nedizenterični kolitis,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Amoebic nondysenteric colitis
1,A06,3,,A00A09,,,4,A06.3,Amebom črevesja,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Amoeboma of intestine
1,A06,4,,A00A09,,,4,A06.4,Jetrni amebni absces,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Amoebic liver abscess
1,A06,5,,A00A09,,,4,A06.5,Pljučni amebni absces,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Amoebic lung abscess
1,A06,6,,A00A09,,,4,A06.6,Možganski amebni absces,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Amoebic brain abscess
1,A06,7,,A00A09,,,4,A06.7,Kožna ameboza,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Cutaneous amoebiasis
1,A06,8,,A00A09,,,4,A06.8,Amebna okužba na drugih mestih,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Amoebic infection of other sites
1,A06,9,,A00A09,,,4,A06.9,"Ameboza, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,"Amoebiasis, unspecified"
1,A07,,,A00A09,,,3,A07,Druge protozojske črevesne bolezni,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Balantidiasis
1,A07,0,,A00A09,,,4,A07.0,Balantidioza,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Balantidiasis
1,A07,1,,A00A09,,,4,A07.1,Lamblioza [Giardioza],0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Giardiasis [lambliasis]
1,A07,2,,A00A09,,,4,A07.2,Kriptosporidioza,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Cryptosporidiosis
1,A07,3,,A00A09,,,4,A07.3,Izosporioza,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Isosporiasis
1,A07,8,,A00A09,,,4,A07.8,Druge opredeljene protozojske črevesne bolezni,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Other specified protozoal intestinal diseases
1,A07,9,,A00A09,,,4,A07.9,"Protozojska črevesna bolezen, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,"Protozoal intestinal disease, unspecified"
1,A08,,,A00A09,,,3,A08,Virusne in druge opredeljene črevesne okužbe,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Rotaviral enteritis
1,A08,0,,A00A09,,,4,A08.0,Rotavirusni enteritis,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,1,Rotaviral enteritis
1,A08,1,,A00A09,,,4,A08.1,"Akutna gastroenteropatija, ki jo povzroča Norovirus",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Acute gastroenteropathy due to Norovirus
1,A08,2,,A00A09,,,4,A08.2,Adenovirusni enteritis,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Adenoviral enteritis
1,A08,3,,A00A09,,,4,A08.3,Drugi virusni enteritis,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Other viral enteritis
1,A08,4,,A00A09,,,4,A08.4,"Črevesna virusna okužba, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,"Viral intestinal infection, unspecified"
1,A08,5,,A00A09,,,4,A08.5,Druge opredeljene črevesne okužbe,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Other specified intestinal infections
1,A09,,,A00A09,,,3,A09,Drugi gastroenteritis ali kolitis infekcijske etiologije ali neopredeljenega vzroka,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Other gastroenteritis and colitis of infectious origin
1,A09,0,,A00A09,,,4,A09.0,Drugi gastroenteritis ali kolitis infekcijske etiologije,0,0,1,2013-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Other gastroenteritis and colitis of infectious origin
1,A09,9,,A00A09,,,4,A09.9,"Gastroenteritis ali kolitis, vzrok neopredeljen",0,0,1,2013-01-01 00:00:00,,,,,,,0,0,0,0,0,0,Other gastroenteritis and colitis of unspecified origin
1,A15,,,A15A19,,,3,A15,"Tuberkuloza dihal, potrjena bakteriološko in/ali histološko",0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,2,0,1,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
1,A15,0,,A15A19,,,4,A15.0,"Tuberkuloza pljuč, potrjena z mikroskopskim pregledom sputuma ali tudi v kulturi",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
1,A15,1,,A15A19,,,4,A15.1,"Tuberkuloza pljuč, potrjena le v kulturi",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of lung, confirmed by culture only"
1,A15,2,,A15A19,,,4,A15.2,"Tuberkuloza pljuč, potrjena le histološko",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of lung, confirmed histologically"
1,A15,3,,A15A19,,,4,A15.3,"Tuberkuloza pljuč, potrjena, način potrditve ni opredeljen",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of lung, confirmed by unspecified means"
1,A15,4,,A15A19,,,4,A15.4,"Tuberkuloza intratorakalnih bezgavk, potrjena bakteriološko in/ali histološko",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
1,A15,5,,A15A19,,,4,A15.5,"Tuberkuloza larinksa, traheje (sapnika) in bronhijev, potrjena bakteriološko in/ali histološko",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
1,A15,6,,A15A19,,,4,A15.6,"Tuberkulozni plevritis, potrjen bakteriološko in/ali histološko",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
1,A15,7,,A15A19,,,4,A15.7,"Primarna tuberkuloza dihal, potrjena bakteriološko in/ali histološko",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
1,A15,8,,A15A19,,,4,A15.8,"Druge vrste tuberkuloza dihal, potrjena bakteriološko in/ali histološko",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
1,A15,9,,A15A19,,,4,A15.9,"Tuberkuloza dihal, neopredeljena, potrjena bakteriološko in/ali histološko",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
1,A16,,,A15A19,,,3,A16,"Tuberkuloza dihal, ki bakteriološko ali histološko ni potrjena",0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,2,0,1,"Tuberculosis of lung, bacteriologically and histologically negative"
1,A16,0,,A15A19,,,4,A16.0,"Tuberkuloza pljuč, bakteriološko in histološko negativna",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of lung, bacteriologically and histologically negative"
1,A16,1,,A15A19,,,4,A16.1,"Tuberkuloza pljuč, bakteriološka ali histološka preiskava ni bila opravljena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of lung, bacteriological and histological examination not done"
1,A16,2,,A15A19,,,4,A16.2,"Tuberkuloza pljuč, bakteriološka ali histološka potrditev ni omenjena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
1,A16,3,,A15A19,,,4,A16.3,"Tuberkuloza intratorakalnih bezgavk, bakteriološka ali histološka potrditev ni omenjena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
1,A16,4,,A15A19,,,4,A16.4,"Tuberkuloza larinksa, traheje (sapnika) in bronhijev, bakteriološka ali histološka potrditev ni omenjena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
1,A16,5,,A15A19,,,4,A16.5,"Tuberkulozni plevritis, bakteriološka ali histološka potrditev ni omenjena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
1,A16,7,,A15A19,,,4,A16.7,"Primarna tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
1,A16,8,,A15A19,,,4,A16.8,"Druge vrste tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
1,A16,9,,A15A19,,,4,A16.9,"Tuberkuloza dihal, neopredeljena, bakteriološka ali histološka potrditev ni omenjena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
1,A17,,,A15A19,,,3,A17,Tuberkuloza živčevja,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,2,0,1,Tuberculous meningitis
1,A17,0,,A15A19,,,4,A17.0,Tuberkulozni meningitis,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculous meningitis
1,A17,1,,A15A19,,,4,A17.1,Tuberkulom mening,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Meningeal tuberculoma
1,A17,8,,A15A19,,,4,A17.8,Druge vrste tuberkuloza živčevja,1,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Other tuberculosis of nervous system
1,A17,9,,A15A19,,,4,A17.9,"Tuberkuloza živčevja, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of nervous system, unspecified"
1,A18,,,A15A19,,,3,A18,Tuberkuloza drugih organov,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,2,0,1,Tuberculosis of bones and joints
1,A18,0,,A15A19,,,4,A18.0,Tuberkuloza kosti in sklepov,1,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculosis of bones and joints
1,A18,1,,A15A19,,,4,A18.1,Tuberkuloza genitourinarnega sistema,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculosis of genitourinary system
1,A18,2,,A15A19,,,4,A18.2,Tuberkulozna periferna limfadenopatija,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculous peripheral lymphadenopathy
1,A18,3,,A15A19,,,4,A18.3,"Tuberkuloza črevesa, peritoneja in mezenterijskih bezgavk",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Tuberculosis of intestines, peritoneum and mesenteric glands"
1,A18,4,,A15A19,,,4,A18.4,Tuberkuloza kože in podkožnega tkiva,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculosis of skin and subcutaneous tissue
1,A18,5,,A15A19,,,4,A18.5,Očesna tuberkuloza,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculosis of eye
1,A18,6,,A15A19,,,4,A18.6,Tuberkuloza ušes,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculosis of ear
1,A18,7,,A15A19,,,4,A18.7,Tuberkuloza suprarenalnih žlez,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculosis of adrenal glands
1,A18,8,,A15A19,,,4,A18.8,Tuberkuloza drugih opredeljenih organov,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Tuberculosis of other specified organs
1,A19,,,A15A19,,,3,A19,Miliarna tuberkuloza,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,2,0,1,Acute miliary tuberculosis of a single specified site
1,A19,0,,A15A19,,,4,A19.0,Akutna miliarna tuberkuloza posameznega opredeljenega organa,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Acute miliary tuberculosis of a single specified site
1,A19,1,,A15A19,,,4,A19.1,Akutna miliarna tuberkuloza več organov,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Acute miliary tuberculosis of multiple sites
1,A19,2,,A15A19,,,4,A19.2,"Akutna miliarna tuberkuloza, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Acute miliary tuberculosis, unspecified"
1,A19,8,,A15A19,,,4,A19.8,Druge vrste miliarna tuberkuloza,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,Other miliary tuberculosis
1,A19,9,,A15A19,,,4,A19.9,"Miliarna tuberkuloza, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,2,0,1,"Miliary tuberculosis, unspecified"
1,A20,,,A20A28,,,3,A20,Kuga,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Bubonic plague
1,A20,0,,A20A28,,,4,A20.0,Bubonska kuga,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Bubonic plague
1,A20,1,,A20A28,,,4,A20.1,Celulokutana kuga,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Cellulocutaneous plague
1,A20,2,,A20A28,,,4,A20.2,Pljučna kuga,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Pneumonic plague
1,A20,3,,A20A28,,,4,A20.3,"Meningitis, ki ga povzroča kuga",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Plague meningitis
1,A20,7,,A20A28,,,4,A20.7,Septična kuga,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Septicaemic plague
1,A20,8,,A20A28,,,4,A20.8,Druge oblike kuge,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Other forms of plague
1,A20,9,,A20A28,,,4,A20.9,"Kuga, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,"Plague, unspecified"
1,A21,,,A20A28,,,3,A21,Tularemija,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Ulceroglandular tularaemia
1,A21,0,,A20A28,,,4,A21.0,Ulceroglandularna tularemija,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Ulceroglandular tularaemia
1,A21,1,,A20A28,,,4,A21.1,Okuloglandularna tularemija,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Oculoglandular tularaemia
1,A21,2,,A20A28,,,4,A21.2,Pljučna tularemija,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Pulmonary tularaemia
1,A21,3,,A20A28,,,4,A21.3,Gastrointestinalna tularemija,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Gastrointestinal tularaemia
1,A21,7,,A20A28,,,4,A21.7,Generalizirana tularemija,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Generalised tularaemia
1,A21,8,,A20A28,,,4,A21.8,Druge oblike tularemije,0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Other forms of tularaemia
1,A21,9,,A20A28,,,4,A21.9,"Tularemija, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,"Tularaemia, unspecified"
1,A22,,,A20A28,,,3,A22,Antraks (vranični prisad),0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Cutaneous anthrax
1,A22,0,,A20A28,,,4,A22.0,Kožni antraks,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Cutaneous anthrax
1,A22,1,,A20A28,,,4,A22.1,Pljučni antraks,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Pulmonary anthrax
1,A22,2,,A20A28,,,4,A22.2,Gastrointestinalni antraks,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Gastrointestinal anthrax
1,A22,7,,A20A28,,,4,A22.7,Antraksna sepsa,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Anthrax sepsis
1,A22,8,,A20A28,,,4,A22.8,Druge oblike antraksa,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Other forms of anthrax
1,A22,9,,A20A28,,,4,A22.9,"Antraks, neopredeljen",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,"Anthrax, unspecified"
1,A23,,,A20A28,,,3,A23,Bruceloza,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Brucellosis due to Brucella melitensis
1,A23,0,,A20A28,,,4,A23.0,"Bruceloza, ki jo povzroča Brucella melitensis",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Brucellosis due to Brucella melitensis
1,A23,1,,A20A28,,,4,A23.1,"Bruceloza, ki jo povzroča Brucella abortus",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Brucellosis due to Brucella abortus
